EQUIPO,operacion,Orden,DATEVALUE
14246,1,10005144,2023-05-26 13:45:41
14246,2,10005144,2023-05-26 15:26:57
14246,3,10005144,2023-05-26 16:56:30
14246,4,10005144,2023-05-26 18:18:12
14246,1,10005176,2023-07-07 11:53:24
14246,2,10005176,2023-07-07 15:06:24
14246,3,10005176,2023-07-07 16:15:02
14246,4,10005176,2023-07-07 17:58:02
14246,1,10005183,2023-09-08 12:48:53
14246,2,10005183,2023-09-08 16:18:56
14246,3,10005183,2023-09-08 17:11:03
14246,4,10005183,2023-09-08 18:47:19
14246,1,10005233,2023-11-23 08:29:16
14246,2,10005233,2023-11-23 12:01:12
14246,3,10005233,2023-11-23 12:48:13
14246,4,10005233,2023-11-23 14:24:31
14246,1,10005271,2024-02-23 07:42:54
14246,2,10005271,2024-02-23 11:18:07
14246,3,10005271,2024-02-23 12:21:27
14246,4,10005271,2024-02-23 13:59:37
14246,1,200179217,2023-03-23 08:00:49
14246,2,200179217,2023-03-23 10:26:25
14246,3,200179217,2023-03-23 12:11:04
14246,4,200179217,2023-03-23 13:34:10
14246,1,200182430,2023-03-30 07:15:01
14246,2,200182430,2023-03-30 10:06:43
14246,3,200182430,2023-03-30 11:20:05
14246,4,200182430,2023-03-30 12:53:49
14246,1,200182432,2023-03-31 07:09:07
14246,2,200182432,2023-03-31 10:18:01
14246,1,200182433,2023-04-06 11:39:41
14246,2,200182433,2023-04-06 14:51:36
14246,3,200182433,2023-04-06 15:51:41
14246,4,200182433,2023-04-06 17:39:10
14246,1,200182437,2023-04-20 07:38:27
14246,2,200182437,2023-04-20 10:23:06
14246,3,200182437,2023-04-20 11:48:47
14246,4,200182437,2023-04-20 13:34:55
14246,1,200182441,2023-04-27 12:39:25
14246,2,200182441,2023-04-27 15:51:41
14246,3,200182441,2023-04-27 17:00:41
14246,4,200182441,2023-04-27 18:54:59
14246,1,200182445,2023-06-01 11:20:41
14246,2,200182445,2023-06-01 14:16:08
14246,3,200182445,2023-06-01 17:20:58
14246,4,200182445,2023-06-01 19:03:38
14246,1,200184603,2023-06-14 10:09:13
14246,2,200184603,2023-06-14 13:48:40
14246,3,200184603,2023-06-14 14:56:37
14246,4,200184603,2023-06-14 16:29:50
14246,1,200184606,2023-06-15 08:37:59
14246,2,200184606,2023-06-15 12:42:12
14246,3,200184606,2023-06-15 13:54:33
14246,4,200184606,2023-06-15 15:37:23
14246,1,200184609,2023-06-22 08:05:20
14246,2,200184609,2023-06-22 11:34:00
14246,1,200184612,2023-06-23 10:16:50
14246,2,200184612,2023-06-23 13:44:39
14246,3,200184612,2023-06-23 14:55:36
14246,4,200184612,2023-06-23 16:33:39
14246,1,200185568,2023-05-24 09:18:46
14246,2,200185568,2023-05-24 12:30:07
14246,3,200185568,2023-05-24 13:47:51
14246,4,200185568,2023-05-24 15:21:17
14246,1,200185569,2023-05-25 10:04:18
14246,2,200185569,2023-05-25 13:16:00
14246,3,200185569,2023-05-25 14:19:12
14246,4,200185569,2023-05-25 15:39:47
14246,1,200187022,2023-06-28 07:00:04
14246,2,200187022,2023-06-28 10:27:29
14246,3,200187022,2023-06-28 11:33:07
14246,4,200187022,2023-06-28 13:09:26
14246,1,200187024,2023-06-29 07:53:42
14246,2,200187024,2023-06-29 11:26:52
14246,3,200187024,2023-06-29 13:05:15
14246,4,200187024,2023-06-29 14:23:14
14246,1,200187026,2023-07-05 07:35:13
14246,2,200187026,2023-07-05 10:48:22
14246,3,200187026,2023-07-05 11:47:25
14246,4,200187026,2023-07-05 13:45:19
14246,1,200187027,2023-07-06 08:09:50
14246,2,200187027,2023-07-06 11:30:16
14246,3,200187027,2023-07-06 12:17:56
14246,4,200187027,2023-07-06 13:50:56
14246,1,200187028,2023-07-12 10:41:00
14246,2,200187028,2023-07-12 14:06:55
14246,3,200187028,2023-07-12 15:22:14
14246,4,200187028,2023-07-12 17:22:00
14246,1,200187029,2023-07-13 07:38:13
14246,2,200187029,2023-07-13 10:36:25
14246,3,200187029,2023-07-13 11:46:38
14246,4,200187029,2023-07-13 13:27:52
14246,1,200187032,2023-07-19 09:04:55
14246,2,200187032,2023-07-19 12:37:52
14246,3,200187032,2023-07-19 13:38:07
14246,4,200187032,2023-07-19 15:11:07
14246,1,200187033,2023-07-20 07:57:30
14246,2,200187033,2023-07-20 10:53:42
14246,3,200187033,2023-07-20 13:11:51
14246,4,200187033,2023-07-20 14:49:31
14246,1,200188841,2023-07-26 07:50:11
14246,2,200188841,2023-07-26 11:19:24
14246,3,200188841,2023-07-26 12:52:07
14246,4,200188841,2023-07-26 14:31:46
14246,1,200188842,2023-07-27 07:21:08
14246,2,200188842,2023-07-27 10:55:32
14246,3,200188842,2023-07-27 11:58:58
14246,4,200188842,2023-07-27 13:35:36
14246,1,200188844,2023-08-02 09:34:54
14246,2,200188844,2023-08-02 12:58:59
14246,3,200188844,2023-08-02 14:04:01
14246,4,200188844,2023-08-02 15:37:13
14246,1,200188845,2023-08-03 08:15:52
14246,2,200188845,2023-08-03 11:40:45
14246,3,200188845,2023-08-03 12:45:58
14246,4,200188845,2023-08-03 14:26:42
14246,1,200188848,2023-09-06 11:14:17
14246,2,200188848,2023-09-06 14:46:02
14246,3,200188848,2023-09-06 15:48:34
14246,4,200188848,2023-09-06 17:25:44
14246,1,200188850,2023-09-07 08:14:16
14246,2,200188850,2023-09-07 11:40:40
14246,3,200188850,2023-09-07 13:08:50
14246,4,200188850,2023-09-07 14:46:33
14246,1,200191079,2023-09-15 12:17:38
14246,2,200191079,2023-09-15 15:41:13
14246,3,200191079,2023-09-15 16:40:12
14246,4,200191079,2023-09-15 18:05:57
14246,1,200191081,2023-09-14 10:00:55
14246,2,200191081,2023-09-14 13:03:39
14246,3,200191081,2023-09-14 14:08:48
14246,4,200191081,2023-09-14 15:40:47
14246,1,200191082,2023-09-27 08:58:03
14246,2,200191082,2023-09-27 12:14:31
14246,3,200191082,2023-09-27 13:18:52
14246,4,200191082,2023-09-27 14:47:11
14246,1,200191084,2023-09-28 09:48:31
14246,2,200191084,2023-09-28 13:00:37
14246,3,200191084,2023-09-28 14:07:51
14246,4,200191084,2023-09-28 15:47:04
14246,1,200191088,2023-10-05 08:39:32
14246,2,200191088,2023-10-05 12:06:42
14246,3,200191088,2023-10-05 13:12:31
14246,4,200191088,2023-10-05 14:50:03
